Date,Close/Last,Volume,Open,High,Low
08/13/2024,4.0855,20096,4.1005,4.109,4.0455
08/12/2024,4.0685,48834,3.983,4.093,3.971
08/09/2024,3.993,48657,3.9835,4.049,3.974
08/08/2024,3.959,61544,3.9315,3.984,3.9235
08/07/2024,3.952,62696,4.008,4.016,3.921
08/06/2024,4.027,54399,4.004,4.06,3.96
08/05/2024,3.999,102987,4.122,4.15,3.9305
08/02/2024,4.103,69334,4.0675,4.1345,4.055
08/01/2024,4.0825,80300,4.1945,4.2235,4.055
07/31/2024,4.1765,61588,4.095,4.2095,4.0865
07/30/2024,4.084,51165,4.094,4.10,4.03
07/29/2024,4.0845,48937,4.1115,4.15,4.061
07/26/2024,4.124,50460,4.1165,4.156,4.10
07/25/2024,4.1255,75127,4.082,4.156,4.036
07/24/2024,4.109,67418,4.166,4.178,4.076
07/23/2024,4.1605,53986,4.1945,4.214,4.1355
07/22/2024,4.1975,68995,4.236,4.2615,4.162
07/19/2024,4.2365,58614,4.262,4.291,4.228
07/18/2024,4.2795,89279,4.415,4.428,4.2525
07/17/2024,4.4085,58176,4.457,4.4835,4.401
07/16/2024,4.4495,58945,4.512,4.525,4.4285
07/15/2024,4.5265,54154,4.5815,4.6025,4.5015
07/12/2024,4.593,60370,4.5275,4.6015,4.476
07/11/2024,4.5065,75590,4.594,4.6255,4.5025
07/10/2024,4.6085,58972,4.583,4.657,4.5475
07/09/2024,4.5775,56949,4.6065,4.6515,4.551
07/08/2024,4.618,69631,4.671,4.671,4.5885
07/05/2024,4.652,118064,4.526,4.6995,4.513
07/03/2024,4.5335,60558,4.4275,4.5625,4.4135
07/02/2024,4.419,48980,4.4165,4.472,4.391
07/01/2024,4.418,45683,4.376,4.438,4.3525
06/28/2024,4.3915,48460,4.3355,4.428,4.3315
06/27/2024,4.3485,48257,4.3735,4.3935,4.329
06/26/2024,4.367,58177,4.371,4.3995,4.3425
06/25/2024,4.371,61200,4.42,4.456,4.357
06/24/2024,4.425,47320,4.4165,4.4525,4.397
06/21/2024,4.4285,41519,4.535,4.535,4.4165
06/20/2024,4.523,64777,4.456,4.536,4.4375
06/18/2024,4.4505,54243,4.445,4.4665,4.369
06/17/2024,4.431,29116,4.481,4.4855,4.3865
06/14/2024,4.475,26712,4.481,4.5095,4.4415
06/13/2024,4.48,34306,4.5295,4.5565,4.4585
06/12/2024,4.5595,37018,4.5035,4.602,4.49
06/11/2024,4.51,69752,4.5585,4.565,4.4425
06/10/2024,4.5435,56079,4.4475,4.557,4.431
06/07/2024,4.4835,88844,4.672,4.685,4.4465
06/06/2024,4.678,59093,4.6265,4.6875,4.615
06/05/2024,4.606,74625,4.549,4.6355,4.5185
06/04/2024,4.537,77165,4.684,4.696,4.527
06/03/2024,4.6675,64563,4.625,4.692,4.5955
05/31/2024,4.602,72064,4.661,4.6735,4.571
05/30/2024,4.6585,82314,4.781,4.784,4.6205
05/29/2024,4.791,69688,4.875,4.8935,4.75
05/28/2024,4.855,99432,4.76,4.903,4.751
05/24/2024,4.7535,58133,4.776,4.823,4.7465
05/23/2024,4.7925,90036,4.8025,4.8625,4.7435
05/22/2024,4.8485,124768,5.104,5.133,4.7915
05/21/2024,5.106,98515,5.1075,5.1795,5.0125
05/20/2024,5.079,113185,5.08,5.199,5.004
05/17/2024,5.05,105557,4.8825,5.0895,4.8485
05/16/2024,4.877,104408,4.9225,5.02,4.8415
05/15/2024,4.9245,175273,4.90,5.128,4.814
05/14/2024,4.895,242104,4.77,5.026,4.7665
05/13/2024,4.766,96344,4.653,4.776,4.616
05/10/2024,4.6625,149787,4.6015,4.7455,4.597
05/09/2024,4.585,88450,4.5415,4.6035,4.5185
05/08/2024,4.5425,75955,4.5915,4.598,4.505
05/07/2024,4.6055,84972,4.6095,4.645,4.567
05/06/2024,4.615,70822,4.5755,4.6385,4.5355
05/03/2024,4.557,73625,4.502,4.569,4.483
05/02/2024,4.4845,89130,4.569,4.582,4.466
05/01/2024,4.546,78419,4.541,4.5975,4.5125
04/30/2024,4.5645,104676,4.679,4.6945,4.54
04/29/2024,4.6765,98705,4.5815,4.681,4.566
04/26/2024,4.574,95394,4.5575,4.6145,4.5425
04/25/2024,4.5385,104305,4.4865,4.5855,4.4655
04/24/2024,4.4865,74378,4.4545,4.517,4.4425
04/23/2024,4.46,73720,4.511,4.5195,4.4115
04/22/2024,4.506,67578,4.5145,4.575,4.489
04/19/2024,4.526,62327,4.4595,4.541,4.426
04/18/2024,4.466,60432,4.3655,4.4765,4.348
04/17/2024,4.3635,41836,4.3225,4.4045,4.3135
04/16/2024,4.3035,105303,4.3785,4.379,4.277
04/15/2024,4.379,142847,4.3525,4.3965,4.2705
04/12/2024,4.2585,153663,4.2605,4.362,4.2495
04/11/2024,4.253,107648,4.2775,4.2995,4.2285
04/10/2024,4.282,144882,4.30,4.335,4.241
04/09/2024,4.2855,145003,4.294,4.3335,4.2525
04/08/2024,4.276,179296,4.236,4.3045,4.1725
04/05/2024,4.236,105449,4.22,4.244,4.1665
04/04/2024,4.249,106107,4.2125,4.2565,4.201
04/03/2024,4.194,118661,4.082,4.217,4.069
04/02/2024,4.0705,87346,4.0565,4.0965,4.042
04/01/2024,4.0485,77175,4.031,4.078,4.025
03/28/2024,4.007,78525,4.012,4.0395,3.984
03/27/2024,4.00,81391,4.005,4.0165,3.9675
03/26/2024,4.0085,71731,4.0115,4.028,3.981
03/25/2024,4.016,79005,3.999,4.047,3.9905
03/22/2024,4.0075,87273,4.0655,4.0665,3.9965
03/21/2024,4.0585,103376,4.09,4.128,4.041
03/20/2024,4.0515,93073,4.068,4.0955,4.027
03/19/2024,4.0745,102083,4.1355,4.1365,4.0575
03/18/2024,4.13,101617,4.121,4.164,4.102
03/15/2024,4.1245,124386,4.0515,4.137,4.045
03/14/2024,4.0455,108104,4.06,4.081,4.0175
03/13/2024,4.06,151104,3.9375,4.069,3.919
03/12/2024,3.932,78690,3.9315,3.952,3.902
03/11/2024,3.9285,56842,3.8935,3.932,3.8785
03/08/2024,3.8915,80624,3.9255,3.9465,3.8815
03/07/2024,3.926,84055,3.8725,3.942,3.8695
03/06/2024,3.875,68830,3.8435,3.897,3.837
03/05/2024,3.847,57737,3.8575,3.8735,3.838
03/04/2024,3.857,58504,3.8575,3.888,3.8435
03/01/2024,3.8615,61780,3.847,3.873,3.818
02/29/2024,3.847,61411,3.839,3.8685,3.834
02/28/2024,3.8405,56401,3.854,3.8545,3.8215
02/27/2024,3.8505,55029,3.836,3.8655,3.834
02/26/2024,3.8345,66368,3.888,3.888,3.834
02/23/2024,3.9005,61614,3.9145,3.917,3.8625
02/22/2024,3.915,59469,3.8925,3.9165,3.878
02/21/2024,3.8875,61025,3.87,3.913,3.86
02/20/2024,3.8675,128630,3.8195,3.8725,3.80
02/16/2024,3.8385,110160,3.7595,3.844,3.755
02/15/2024,3.758,71133,3.7045,3.7615,3.70
02/14/2024,3.70,70612,3.709,3.7255,3.6895
02/13/2024,3.711,79977,3.7215,3.7545,3.703
02/12/2024,3.724,74676,3.6895,3.726,3.667
02/09/2024,3.6815,84893,3.708,3.713,3.655
02/08/2024,3.702,119114,3.7355,3.763,3.679
02/07/2024,3.7355,108588,3.784,3.795,3.7315
02/06/2024,3.781,89077,3.7745,3.7975,3.766
02/05/2024,3.7715,96307,3.819,3.833,3.7635
02/02/2024,3.8215,95484,3.8545,3.8625,3.8165
02/01/2024,3.8535,93371,3.8965,3.8975,3.845
01/31/2024,3.906,123533,3.9135,3.947,3.8835
01/30/2024,3.911,83648,3.885,3.917,3.8605
01/29/2024,3.879,72712,3.853,3.89,3.8275
01/26/2024,3.852,70308,3.868,3.8865,3.845
01/25/2024,3.869,90917,3.8735,3.8935,3.8585
01/24/2024,3.886,138242,3.806,3.888,3.795
01/23/2024,3.7935,91658,3.7485,3.8085,3.7475
01/22/2024,3.7635,69368,3.7895,3.7915,3.744
01/19/2024,3.7865,72443,3.7565,3.792,3.743
01/18/2024,3.745,77516,3.744,3.759,3.7145
01/17/2024,3.733,84464,3.77,3.7705,3.7225
01/16/2024,3.7665,126680,3.745,3.79,3.744
01/12/2024,3.7405,85716,3.791,3.819,3.735
01/11/2024,3.7765,78311,3.787,3.824,3.7685
01/10/2024,3.781,87614,3.763,3.793,3.754
01/09/2024,3.7585,96056,3.8235,3.8405,3.757
01/08/2024,3.81,80855,3.8075,3.833,3.7895
01/05/2024,3.806,91612,3.8495,3.866,3.801
01/04/2024,3.844,68586,3.8745,3.8845,3.8175
01/03/2024,3.8615,78151,3.8715,3.879,3.831
01/02/2024,3.8805,74480,3.8955,3.912,3.861
12/29/2023,3.8905,52702,3.9165,3.9355,3.878
12/28/2023,3.9245,62049,3.956,3.967,3.913
12/27/2023,3.9595,78261,3.904,3.974,3.8995
12/26/2023,3.902,36195,3.905,3.9435,3.897
12/22/2023,3.905,53130,3.925,3.9395,3.892
12/21/2023,3.9175,67581,3.8845,3.9315,3.8795
12/20/2023,3.906,65525,3.9075,3.945,3.879
12/19/2023,3.898,83273,3.848,3.9305,3.841
12/18/2023,3.852,53766,3.883,3.8915,3.845
12/15/2023,3.8905,71331,3.874,3.9165,3.8485
12/14/2023,3.8925,104674,3.835,3.9095,3.827
12/13/2023,3.835,60895,3.7925,3.8395,3.753
12/12/2023,3.7875,67575,3.785,3.8125,3.7665
12/11/2023,3.7805,64865,3.8305,3.836,3.7755
12/08/2023,3.8305,86514,3.798,3.864,3.788
12/07/2023,3.7975,73631,3.7315,3.8005,3.7305
12/06/2023,3.7345,79575,3.786,3.8265,3.729
12/05/2023,3.784,93602,3.827,3.841,3.77
12/04/2023,3.8355,93575,3.9215,3.8705,3.8245
12/01/2023,3.9315,104477,3.855,3.933,3.8425
11/30/2023,3.8505,74569,3.835,3.8565,3.8125
